id,root_pg,"alternate_view",client_id,rg_id,desc_pg,order,access_level,"type","v20","status","name","short_name","criteria","replaced_by_ids","notes",minutes,iaap_credits,price,"category","description","authors","version","keywords"
18,1425,"N",NULL,26,0,4040,1000,"course","N","active","WCAG 2.0 & 2.1 Conformance Testing, Detailed Methodology","WCAG 2.0 & 2.1 Conformance Testing",NULL,NULL,"",375,6.25,NULL,"Testing and QA","Learn advanced criteria and detailed testing methods to determine WCAG conformance.",NULL,"2.0","wcag, conformance, testing, success criteria, legal liability, kiosks, web, acaa, user stories, accessibility, web accessibility, disabilities"
19,1433,"N",NULL,27,0,4050,0,"course","N","active","Deque U Admin & MODx User Guide","Deque U Admin and MODx",NULL,NULL,"",NULL,NULL,0.00,"Deque Employees",NULL,NULL,"1.5",NULL
20,1440,"N",NULL,28,0,2230,100,"course","N","active","Amaze Programming","Amaze Programming",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,"1.0",NULL
21,1649,"N",NULL,32,718,7020,0,"course","N","retired","FireEyes Fundamentals","FireEyes",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
22,1781,"N",NULL,34,719,2200,100,"course","N","retired","WorldSpace Organization Administrators","WS Org Admins",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,"1.0",NULL
23,1782,"N",NULL,35,3357,2210,100,"course","N","retired","WorldSpace Project Administrators","WS Proj Admins",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,"1.0",NULL
24,1783,"N",NULL,36,3358,2220,100,"course","N","retired","WorldSpace Project Members","WS Proj Members",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,"1.0",NULL
25,1784,"N",NULL,37,3359,8050,0,"course","N","retired","WorldSpace Public Users","WS Public Users",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,"1.0",NULL
26,2050,"N",NULL,39,0,8060,0,"course","N","retired","Humana TestMax Accessibility Testing","Humana TestMax",NULL,NULL,"",NULL,NULL,NULL,"Web Accessibility",NULL,NULL,"1.0",NULL
27,1522,"N",NULL,40,0,7010,0,"user guide","N","retired","User Guide: FireEyes","FireEyes User Guide",NULL,NULL,"(Viewable by everyone.)",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
28,3003,"N",NULL,49,3727,2150,1000,"course","N","active","EPUB Accessibility Techniques","EPUB",NULL,NULL,"",45,0.75,NULL,"Document Accessibility","Learn how to create accessible EPUB documents.","Kena Anderson, Timothy Bohman","1.0","epub, office, pdf, readers, documents, content, forms, charts, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
30,3344,"N",NULL,50,5503,4060,1000,"course","N","active","Usability Testing for Accessibility","Usability",NULL,NULL,"",30,0.50,NULL,"Concepts and Requirements",NULL,NULL,"1.0",NULL
31,4756,"N",NULL,61,0,4020,100,"user guide","N","retired","User Guide: WorldSpace Attest HTML","WS Attest User Guide",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
32,5120,"N",NULL,64,0,2090,0,"course","N","in development","Native Mobile","Native Mobile",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,"1.0",NULL
33,5174,"N",NULL,65,0,4010,1000,"user guide","N","active","User Guide: Axe Auditor","Axe Auditor User Guide",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
34,5178,"N",NULL,67,0,2000,0,"course","N","retired","Web Accessibility Basic Concepts","Basics - OLD",NULL,"60","A shortened version of Fundamentals.",NULL,NULL,NULL,"Concepts and Requirements",NULL,NULL,"1.0",NULL
35,5444,"N",NULL,77,5504,2110,1000,"course","N","active","Basic Web and Document Accessibility for Content Contributors","Content Contributors",NULL,NULL,"",90,1.50,45.00,"Document Accessibility","Learn the fundamentals of accessible content for web and documents.",NULL,"1.0","content, writers, documents, contributors, word, social media, powerpoint, web, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
36,5562,"N",NULL,78,0,2030,0,"course","N","retired","Web Accessibility Fundamentals (Short)","Fundamentals (Short)",NULL,"60","Makes additional sections BONUS sections. This was originally made for Intuit, but it is NOT client-specific.",NULL,1.00,NULL,"Concepts and Requirements",NULL,NULL,"1.0",NULL
37,5380,"N",NULL,71,0,6000,0,"course","N","in development","SP - Web Accessibility Basic Concepts","SP - Basics",NULL,"60","",NULL,NULL,NULL,"Concepts and Requirements",NULL,NULL,"1.0",NULL
38,5178,"Y",38,70,0,2010,0,"course","N","retired","Web Accessibility Basic Concepts - Wells Fargo","Basics - WF",NULL,"60","Has the SAME pages as \"Basics\" but no \"U.S. Laws\" page - ONLY FOR WELLS FARGO.",NULL,NULL,NULL,"Concepts and Requirements",NULL,NULL,"1.0",NULL
39,6058,"N",NULL,79,6867,2180,1000,"course","N","active","IAAP CPACC Certification Preparation","IAAP CPACC",NULL,NULL,"",270,4.50,NULL,"Concepts and Requirements","Prepare for the IAAP CPACC (Certified Professional in Accessibility Core Competencies) exam.",NULL,"1.0","iaap, certified, certification, core competencies, theoretical, models of disability, medical model, social model, universal design, principles, usability, laws, myths, governance, management, disability etiquette, statistics, accessibility, web accessibility, disabilities"
40,5785,"N",NULL,82,0,4000,100,"user guide","N","active","User Guide: FireEyes II","FireEyes II User Guide",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
41,6154,"N",NULL,80,0,2100,0,"course","N","in development","UX Design for Accessibility","UX Design",NULL,NULL,"",NULL,NULL,NULL,"Concepts and Requirements",NULL,NULL,NULL,NULL
42,0,"N",NULL,57,0,4030,100,"premium content","N","retired","Issues: WorldSpace Enhanced","WS Enhanced Issues",NULL,NULL,"Gives them \"Enhanced\" access to issues.",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
43,7490,"N",NULL,84,0,2190,100,"course","N","retired","FireEyes II Fundamentals","FireEyes II",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
44,7471,"N",NULL,83,0,2170,0,"course","N","in development","MathML","MathML",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,"1.0",NULL
45,7964,"N",1221,88,0,3020,0,"course","Y","retired","Semantic Structure and Navigation (Microsoft-specific)","Semantic Structure (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 3",105,1.75,NULL,"Web Accessibility","Create semantic markup to allow screen reader users to understand and navigate through the structure of web pages.","Paul Bohman","2.0","semantic structure, headings, landmarks, links, navigation, tables, lists, iframes, markup, validity, highlighting, screen readers, accessibility, web accessibility, disabilities"
46,7962,"N",1221,86,0,3000,0,"course","Y","retired","Web Accessibility Fundamentals (Microsoft-specific)","Fundamentals (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 1",90,1.50,NULL,"Concepts and Requirements",NULL,"Paul Bohman","2.0",NULL
47,7963,"N",1221,87,0,3010,0,"course","Y","retired","Using Screen Readers (Microsoft-specific)","Screen Readers (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 2",90,1.50,NULL,"Web Accessibility",NULL,"Paul Bohman","2.0",NULL
48,7965,"N",1221,89,0,3030,0,"course","Y","retired","Images, Canvas, SVG, and Other Non-Text Content (Microsoft-specific)","Images, Canvas, SVG (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 4",90,1.50,NULL,"Web Accessibility","Create accessible images with effective alt text, including simple images, complex images, SVG, icon fonts, and HTML canvas.","Paul Bohman","2.0","images, svg, html canvas, alt text, animations, icon fonts, blind, low vision, screen readers, accessibility, web accessibility, disabilities"
49,7967,"N",1221,91,0,3050,0,"course","Y","retired","Audio, Video, Animations, and Motion (Microsoft-specific)","Module 6 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 6",105,1.75,NULL,"Web Accessibility",NULL,"Paul Bohman","2.0",NULL
50,7968,"N",1221,92,0,3060,0,"course","Y","retired","Device-Independent User Input Methods (Microsoft-specific)","Module 7 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 7",45,0.75,NULL,"Web Accessibility","Create accessible user interactions for mouse, keyboard, voice, and touch.","Paul Bohman","2.0","keyboard, mouse, voice, touch, mobile, focus management, focus indicator, target size, keyboard shortcuts, tab order, tab focus, hover, accessibility, web accessibility, disabilities"
51,7969,"N",1221,93,0,3070,0,"course","Y","retired","Form Labels, Instructions, and Validation (Microsoft-specific)","Module 8 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 8",90,1.50,NULL,"Web Accessibility","Create accessible forms with labels for inputs and groups of inputs, instructions, and validation feedback, including in dynamic forms.","Paul Bohman","2.0","forms, screen readers, labels, fieldset, legend, input, buttons, instructions, form validation, error messages, success messages, custom widgets, dynamic forms, accessibility, web accessibility, disabilities"
52,7970,"N",1221,94,0,3080,0,"course","Y","retired","Dynamic Updates, AJAX, and Single-page Applications (Microsoft-specific)","Module 9 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 9",30,0.50,NULL,"Web Accessibility","Create accessible dynamic web content, including JavaScript, AJAX, and single-page apps.","Paul Bohman","2.0","dynamic HTML DHTML, AJAX, JavaScript, aria-live, focus management, keyboard accessibility, single-page applications, single-page apps, auto refresh, session timeout, infinite scrolling, interstitial views, timers, accessibility, web accessibility, disabilities"
53,7971,"N",1221,95,0,3090,0,"course","Y","retired","Custom Widgets: JavaScript/ARIA Widgets, Objects, and Plugins (Microsoft-specific)","Module 10 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 10",180,3.00,NULL,"Web Accessibility","Create accessible custom widgets and JavaScript components using ARIA.","Paul Bohman","2.0","aria, accessible rich internet applications, keyboard accessibility, name, role, value, attribute, JavaScript, operability, alert, dialog, tab panel, tooltip, progress bar, tree, carousel, predictive text, slider, aria-live, screen readers, blind, accessibility, web accessibility, disabilities"
54,7972,"N",1221,96,0,3100,0,"course","Y","retired","Beyond Compliance: Designing an Accessible User Experience (Microsoft-specific)","Module 11 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 11",135,2.25,NULL,"Concepts and Requirements",NULL,"Paul Bohman","2.0",NULL
55,7973,"N",1221,97,0,3110,0,"course","Y","retired","Web Accessibility Testing Methods and Tools (Microsoft-specific)","Module 12 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 12",120,2.00,NULL,"Web Accessibility",NULL,"Paul Bohman","2.0",NULL
56,7974,"N",1221,98,0,3120,0,"course","Y","retired","Accessibility Program Management (Microsoft-specific)","Module 13 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 13",60,1.00,NULL,"Web Accessibility",NULL,"Paul Bohman","2.0",NULL
57,7966,"N",1221,90,0,3040,0,"course","Y","retired","Visual Design and Colors (Microsoft-specific)","Visual Design (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 5",75,1.25,NULL,"Web Accessibility",NULL,"Paul Bohman","2.0",NULL
58,11875,"N",1221,125,0,3130,0,"course","Y","retired","IAAP CPACC Certification Preparation (Microsoft-specific)","Module 14 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 14",270,4.50,NULL,"Concepts and Requirements","Prepare for the IAAP CPACC (Certified Professional in Accessibility Core Competencies) exam.","Paul Bohman","1.0","iaap, certified, certification, core competencies, theoretical, models of disability, medical model, social model, universal design, principles, usability, laws, myths, governance, management, disability etiquette, statistics, accessibility, web accessibility, disabilities"
59,12394,"N",1221,126,0,3140,0,"course","Y","retired","iOS Native Mobile App Accessibility (Microsoft-specific)","Module 15 (MS-only)",NULL,NULL,"Custom course for Microsoft. Module 15",120,2.00,NULL,"Mobile App Accessibility","Learn how to make native mobile iOS apps accessible.","Paul Bohman","1.0","ios, native mobile, apps, mobile, phone, tablet, software, accessibility, web accessibility, disabilities"
60,11399,"N",NULL,105,14789,1000,1000,"course","Y","active","Accessibility Fundamentals - Disabilities, Guidelines, and Laws","Fundamentals 2.0",NULL,NULL,"New 2.0 Module 1",90,1.50,45.00,"Web Accessibility","Overview of important accessibility concepts, including types of disabilities, how people with disabilities use the web, assistive technologies, guidelines, laws, myths and misconceptions.","Paul Bohman","2.0","web accessibility, disabilities, blind, low vision, colorblind, deaf, motor, cognitive, speech, assistive technologies, laws, guidelines, wcag, section 508, ada, en 301 549, aoda, acaa, cvaa"
61,11445,"N",NULL,106,14793,1010,1000,"course","Y","active","Web Accessibility Testing: Screen Readers","Screen Readers 2.0",NULL,NULL,"New 2.0 Module 2",90,1.50,45.00,"Web Accessibility","Learn to use screen readers for web accessibility testing.","Paul Bohman","2.0","screen readers, blind, low vision, jaws, nvda, voiceover, talkback, accessibilty API, narrator, chromevox, accessibility, web accessibility, disabilities"
62,10238,"N",NULL,99,14797,1020,1000,"course","Y","active","Semantic Structure and Navigation (WCAG 2.1)","Semantic Structure 2.0",NULL,NULL,"New 2.0 Module 3",105,1.75,45.00,"Web Accessibility","Create semantic markup to allow screen reader users to understand and navigate through the structure of web pages.","Paul Bohman","2.0","semantic structure, headings, landmarks, links, navigation, tables, lists, iframes, markup, validity, highlighting, screen readers, accessibility, web accessibility, disabilities"
63,10505,"N",NULL,101,14798,1030,1000,"course","Y","active","Images, SVG, and Canvas","Image, SVG, Canvas 2.0",NULL,NULL,"New 2.0 Module 4",90,1.50,45.00,"Web Accessibility","Create accessible images with effective alt text, including simple images, complex images, SVG, icon fonts, and HTML canvas.","Paul Bohman","2.0","images, svg, html canvas, alt text, animations, icon fonts, blind, low vision, screen readers, accessibility, web accessibility, disabilities"
64,10562,"N",NULL,102,14799,1040,1000,"course","Y","active","Visual Design and Colors (WCAG 2.1)","Visual Design 2.0",NULL,NULL,"New 2.0 Module 5",75,1.25,45.00,"Web Accessibility","Create accessible visual designs, taking into account color, contrast, visual layout, reading order, focus order, typography, CSS-generated content, and hidden content.","Paul Bohman","2.0","visual design, color, contrast, typography, reading order, layout, CSS, hidden content, colorblind, low vision, screen readers, accessibility, web accessibility, disabilities"
65,10749,"N",NULL,107,14800,1050,1000,"course","Y","active","Multimedia, Animations, and Motion","Multimedia 2.0",NULL,NULL,"New 2.0 Module 6",105,1.75,45.00,"Web Accessibility","Create accessible video, audio, and multimedia, with captions, transcripts audio descriptions, sign language interpretation, and accessible media players.","Paul Bohman","2.0","deaf, hard of hearing, multimedia, audio, video, transcripts, captions, sign language, media players, audio descriptions, accessibility, web accessibility, disabilities"
66,10808,"N",NULL,108,14801,1060,1000,"course","Y","active","Device-Independent User Input Methods (WCAG 2.1)","User Input Methods 2.0",NULL,NULL,"New 2.0 Module 7",45,0.75,45.00,"Web Accessibility","Create accessible user interactions for mouse, keyboard, voice, and touch.","Paul Bohman","2.0","keyboard, mouse, voice, touch, mobile, focus management, focus indicator, target size, keyboard shortcuts, tab order, tab focus, hover, accessibility, web accessibility, disabilities"
67,10845,"N",NULL,109,14802,1070,1000,"course","Y","active","Form Labels, Instructions, and Validation (WCAG 2.1)","Forms 2.0",NULL,NULL,"New 2.0 Module 8",90,1.50,45.00,"Web Accessibility","Create accessible forms with labels for inputs and groups of inputs, instructions, and validation feedback, including in dynamic forms.","Paul Bohman","2.0","forms, screen readers, labels, fieldset, legend, input, buttons, instructions, form validation, error messages, success messages, custom widgets, dynamic forms, accessibility, web accessibility, disabilities"
68,10907,"N",NULL,110,14791,1080,1000,"course","Y","active","Dynamic Updates, AJAX, and Single-Page Apps","Dynamic, AJAX 2.0",NULL,NULL,"New 2.0 Module 9",30,0.50,45.00,"Web Accessibility","Create accessible dynamic web content, including JavaScript, AJAX, and single-page apps.","Paul Bohman","2.0","dynamic HTML DHTML, AJAX, JavaScript, aria-live, focus management, keyboard accessibility, single-page applications, single-page apps, auto refresh, session timeout, infinite scrolling, interstitial views, timers, accessibility, web accessibility, disabilities"
69,11245,"N",NULL,111,14794,1090,1000,"course","Y","active","Custom JavaScript/ARIA Widgets","JavaScript/ARIA Widgets 2.0",NULL,NULL,"New 2.0 Module 10",180,3.00,45.00,"Web Accessibility","Create accessible custom widgets and JavaScript components using ARIA.","Paul Bohman","2.0","aria, accessible rich internet applications, keyboard accessibility, name, role, value, attribute, JavaScript, operability, alert, dialog, tab panel, tooltip, progress bar, tree, carousel, predictive text, slider, aria-live, screen readers, blind, accessibility, web accessibility, disabilities"
70,12219,"N",NULL,112,14796,1100,1000,"course","Y","active","Designing an Accessible User Experience","User Experience 2.0",NULL,NULL,"New 2.0 Module 11",135,2.25,45.00,"Concepts and Requirements","Go beyond basic user experience design to include people with disabilities as a core part of the design strategy.","Paul Bohman","2.0","inclusive design, user experience, ux, accessibility, web accessibility, diversity, affordances, disabilities, designers, design, exclusion, universal design"
71,11531,"N",NULL,113,14792,1110,1000,"course","Y","active","Web Accessibility Testing: Basic Methods and Tools","Basic Testing Methods 2.0",NULL,NULL,"New 2.0 Module 12",120,2.00,45.00,"Web Accessibility","Learn to test for web accessibility using manual methods, checklists, and software tools.","Paul Bohman","2.0","axe, attest, comply, testing, checklists, automated checks, manual checks, process, accessibility, web accessibility, disabilities"
72,12272,"N",NULL,114,14805,1120,1000,"course","Y","active","Accessibility Program Management","Program Management 2.0",NULL,NULL,"New 2.0 Module 13",60,1.00,45.00,"Accessibility Program Management","Learn how to lead and manage accessibility programs and projects.","Jonee Lee, Paul Bohman","2.0","leadership, management, legal, legal risk, compliance, procurement, remediation, sustainability, roles, certification, test cases, wcag, ada, section 508, hiring, accessibility, web accessibility, disabilities"
73,12395,"N",NULL,137,14804,2630,1000,"course","Y","retired","Android Native Mobile App Accessibility","Android Apps",NULL,NULL,"Original course",105,1.75,45.00,"Mobile App Accessibility","Learn how to make native mobile Android apps accessible.","Deque","1.0","android, talkback, native mobile, apps, mobile, phone, tablet, software, accessibility, web accessibility, disabilities"
74,17376,"N",NULL,144,0,2640,1000,"course","Y","active","Section 508: Fundamentals of the Law and Technical Standards","508 Fundamentals",NULL,NULL,"New 2.0 Module ?",30,0.50,45.00,"Concepts and Requirements","Learn the Section 508 accessibility legal requirements and scope.",NULL,"2.0","section 508, ada wcag, ict, electronic content, hardware, software, mobile, acquisition, procurement, government, federal government, hiring, accessibility, web accessibility, disabilities"
75,12427,"N",NULL,135,14806,2650,0,"course","Y","in development","Section 508 Web Accessibility Program Management","508 Program Management 2.0",NULL,NULL,"New 2.0 Module ?",NULL,NULL,NULL,"Accessibility Program Management",NULL,NULL,"2.0",NULL
76,12432,"N",NULL,141,12432,9100,0,"course","Y","in development","Section 508 Procurement","508 Procurement 2.0",NULL,NULL,"New 2.0 Module ?",NULL,NULL,NULL,"Accessibility Program Management",NULL,NULL,"2.0",NULL
78,10146,"N",735,100,0,3520,100,"course","Y","active","Semantic Structure and Navigation (Citi-specific)","Structure and Navigation (Citi-only)",NULL,NULL,"Custom course for Citi. Module 3 (Citi 1)",105,1.75,NULL,"Web Accessibility","Create semantic markup to allow screen reader users to understand and navigate through the structure of web pages.","Paul Bohman","2.0","semantic structure, headings, landmarks, links, navigation, tables, lists, iframes, markup, validity, highlighting, screen readers, accessibility, web accessibility, disabilities"
79,10634,"N",735,103,0,3530,100,"course","Y","active","Images, SVG, and Canvas (Citi-specific)","Images and Non-Text (Citi-only)",NULL,NULL,"Custom course for Citi. Module 4 (Citi 2)",90,1.50,NULL,"Web Accessibility","Create accessible images with effective alt text, including simple images, complex images, SVG, icon fonts, and HTML canvas.","Paul Bohman","2.0","images, svg, html canvas, alt text, animations, icon fonts, blind, low vision, screen readers, accessibility, web accessibility, disabilities"
80,10691,"N",735,104,0,3540,100,"course","Y","active","Visual Design and Colors (Citi-specific)","Visual Design (Citi-only)",NULL,NULL,"Custom course for Citi. Module 5 (Citi 3)",75,1.25,NULL,"Web Accessibility","Create accessible visual designs, taking into account color, contrast, visual layout, reading order, focus order, typography, CSS-generated content, and hidden content.","Paul Bohman","2.0","visual design, color, contrast, typography, reading order, layout, CSS, hidden content, colorblind, low vision, screen readers, accessibility, web accessibility, disabilities"
81,10943,"N",735,117,0,3550,100,"course","Y","active","Multimedia, Animations, and Motion (Citi-specific)","Audio, Video (Citi-only)",NULL,NULL,"Custom course for Citi. Module 6 (Citi 4)",105,1.75,NULL,"Web Accessibility","Create accessible video, audio, and multimedia, with captions, transcripts audio descriptions, sign language interpretation, and accessible media players.","Paul Bohman","2.0","deaf, hard of hearing, multimedia, audio, video, transcripts, captions, sign language, media players, audio descriptions, accessibility, web accessibility, disabilities"
82,11002,"N",735,118,0,3560,100,"course","Y","active","Device-Independent User Input Methods (Citi-specific)","User Input Methods (Citi-only)",NULL,NULL,"Custom course for Citi. Module 7 (Citi 5)",45,0.75,NULL,"Web Accessibility","Create accessible user interactions for mouse, keyboard, voice, and touch.","Paul Bohman","2.0","keyboard, mouse, voice, touch, mobile, focus management, focus indicator, target size, keyboard shortcuts, tab order, tab focus, hover, accessibility, web accessibility, disabilities"
83,11039,"N",735,119,0,3570,100,"course","Y","active","Form Labels, Instructions, and Validation (Citi-specific)","Forms and Validation - (Citi-only)",NULL,NULL,"Custom course for Citi. Module 8 (Citi 6)",90,1.50,NULL,"Web Accessibility","Create accessible forms with labels for inputs and groups of inputs, instructions, and validation feedback, including in dynamic forms.","Paul Bohman","2.0","forms, screen readers, labels, fieldset, legend, input, buttons, instructions, form validation, error messages, success messages, custom widgets, dynamic forms, accessibility, web accessibility, disabilities"
84,11101,"N",735,120,0,3580,100,"course","Y","active","Dynamic Updates, AJAX, and Single-Page Applications (Citi-specific)","Dynamic Updates - (Citi-only)",NULL,NULL,"Custom course for Citi. Module 9 (Citi 7)",30,0.50,NULL,"Web Accessibility","Create accessible dynamic web content, including JavaScript, AJAX, and single-page apps.","Paul Bohman","2.0","dynamic HTML DHTML, AJAX, JavaScript, aria-live, focus management, keyboard accessibility, single-page applications, single-page apps, auto refresh, session timeout, infinite scrolling, interstitial views, timers, accessibility, web accessibility, disabilities"
85,11322,"N",735,121,0,3590,100,"course","Y","active","Custom JavaScript/ARIA Widgets (Citi-specific)","Custom Widgets - (Citi-only)",NULL,NULL,"Custom course for Citi. Module 10 (Citi 8)",180,3.00,NULL,"Web Accessibility","Create accessible custom widgets and JavaScript components using ARIA.","Paul Bohman","2.0","aria, accessible rich internet applications, keyboard accessibility, name, role, value, attribute, JavaScript, operability, alert, dialog, tab panel, tooltip, progress bar, tree, carousel, predictive text, slider, aria-live, screen readers, blind, accessibility, web accessibility, disabilities"
86,12342,"N",735,122,0,3600,100,"course","Y","active","Designing an Accessible User Experience (Citi-specific)","Beyond Compliance - (Citi-only)",NULL,NULL,"Custom course for Citi. Module 11 (Citi 9)",135,2.25,NULL,"Concepts and Requirements","Go beyond basic user experience design to include people with disabilities as a core part of the design strategy.","Paul Bohman","2.0","inclusive design, user experience, ux, accessibility, web accessibility, diversity, affordances, disabilities, designers, design, exclusion, universal design"
87,11616,"N",735,123,0,3610,100,"course","Y","active","Web Accessibility Testing: Basic Methods and Tools (Citi-specific)","Testing Methods - (Citi-only)",NULL,NULL,"Custom course for Citi. Module 12 (Citi 10)",120,2.00,NULL,"Web Accessibility",NULL,"Paul Bohman","2.0",NULL
88,12681,"N",735,124,0,3620,100,"course","Y","active","Accessibility Program Management (Citi-specific)","Program Management - (Citi-only)",NULL,NULL,"Custom course for Citi. Module 13 (Citi 11)",60,1.00,NULL,"Accessibility Program Management","Learn how to lead and manage accessibility programs and projects.","Paul Bohman","2.0","leadership, management, legal, legal risk, compliance, procurement, remediation, sustainability, roles, certification, test cases, wcag, ada, section 508, hiring, accessibility, web accessibility, disabilities"
89,10337,"N",NULL,139,0,9000,100,"user guide","N","retired","User Guide: WorldSpace Attest Browser Extension","WS Attest Browser Ext. User Guide",NULL,NULL,"(Viewable by everyone.)",NULL,NULL,NULL,"Deque Products",NULL,"Paul Bohman",NULL,NULL
